model,fold,cutoff,horizon_days,horizon_hours,n_train,n_test,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,n_features,elapsed_s
ashtar_seq2seq,4,2019-01-01,105,2520,50080,2520,1600.43,1329.85,9.78,1.6752,0.0965,0.1162,0.7238,2520,36,203.6
ashtar_seq2seq,3,2018-01-01,90,2160,41680,2160,2919.64,2153.03,14.81,2.8484,0.1524,0.2067,0.1528,2160,36,208.4
ashtar_seq2seq,3,2018-01-01,180,4320,39520,4320,11798.16,11136.61,83.68,14.1969,0.8294,0.8787,0.2581,4320,36,387.8
ashtar_seq2seq,3,2018-01-01,120,2880,40960,2880,1879.34,1501.08,11.2,1.9326,0.1086,0.136,0.6771,2880,36,548.2
ashtar_seq2seq,4,2019-01-01,75,1800,50800,1800,2466.72,1801.73,12.92,2.2935,0.1271,0.174,0.5234,1800,36,472.8
ashtar_seq2seq,3,2018-01-01,165,3960,39880,3960,1406.76,1102.88,8.41,1.4115,0.0817,0.1042,0.7696,3960,36,291.4
ashtar_seq2seq,4,2019-01-01,150,3600,49000,3600,3825.88,3238.36,26.97,4.1908,0.2435,0.2877,-0.2227,3600,36,279.8
ashtar_seq2seq,4,2019-01-01,135,3240,49360,3240,2024.24,1662.32,12.87,2.149,0.1236,0.1505,0.5019,3240,36,277.8
ashtar_seq2seq,5,2020-01-01,105,2520,58840,2519,2237.33,1740.45,14.08,2.3943,0.1335,0.1716,0.571,2519,36,278.9
ashtar_seq2seq,5,2020-01-01,60,1440,59920,1440,1312.25,1039.88,7.53,1.4477,0.0752,0.0948,0.8079,1440,36,419.8
ashtar_seq2seq,4,2019-01-01,120,2880,49720,2880,1820.39,1599.82,12.3,2.0391,0.1178,0.134,0.7568,2880,36,238.9
ashtar_seq2seq,4,2019-01-01,165,3960,48640,3960,2661.0,2180.03,16.98,2.8174,0.1655,0.202,0.5067,3960,36,257.7
ashtar_seq2seq,5,2020-01-01,75,1800,59560,1800,3178.27,2545.79,18.36,3.3374,0.1861,0.2323,-0.121,1800,36,333.3
ashtar_seq2seq,5,2020-01-01,150,3600,57760,3599,2308.27,1768.65,15.05,2.5212,0.1425,0.1859,0.4565,3599,36,268.3
ashtar_seq2seq,4,2019-01-01,90,2160,50440,2160,1861.82,1507.57,10.94,1.9093,0.1078,0.1332,0.5862,2160,36,558.9
ashtar_seq2seq,4,2019-01-01,180,4320,48280,4320,1795.97,1422.79,11.1,1.8219,0.1087,0.1372,0.6244,4320,36,557.5
ashtar_seq2seq,5,2020-01-01,120,2880,58480,2879,2110.5,1718.16,14.67,2.4148,0.1346,0.1653,0.4744,2879,36,289.9
ashtar_seq2seq,6,2021-01-01,60,1440,68680,1440,2180.5,1876.5,14.18,2.5929,0.1398,0.1624,0.5692,1440,36,353.2
