model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s
cmat_ntl,1,2015-01-01,90,2665.55805238919,2222.99376021984,15.278873961855608,3.0326991647023207,0.1628793772414396,0.1953061872432425,0.1883680258888872,2064,0.0245804945965681,2427232,7,33.16456389427185
cmat_ntl,5,2019-01-01,75,2076.9076556893096,1791.1234571204338,12.761655349472036,2.3770435896804143,0.1307478551881089,0.1516094383810427,0.0347501027764129,1752,0.0260801334036038,1637424,10,74.7935631275177
cmat_ntl,7,2021-01-01,60,1906.1701226407788,1655.398938065055,12.706487474411055,2.114815006186135,0.1265901644280077,0.1457669107453354,0.1120288155812984,1272,0.0299006187329616,623912,8,88.12925362586975
cmat_ntl,2,2016-01-01,90,2407.141685560366,2041.0885378815408,14.210806760775313,2.745158428492823,0.1470660920895723,0.1734412369826433,0.0013721686862319,2064,0.0273307904683272,2427232,7,43.31649851799011
cmat_ntl,6,2020-01-01,75,2032.4905757901613,1708.0818874411386,12.425722150580112,2.304973781391649,0.1281269995881042,0.1524616126907241,-0.0456271653602142,1752,0.0308088163240221,1637424,6,51.8571343421936
cmat_ntl,3,2017-01-01,90,2545.6411104493827,2116.4104912336484,14.055767339760994,2.8025230967517456,0.1498010134364759,0.1801822565945569,0.103232969114759,2064,0.0281814264051397,2427232,7,53.40057229995728
cmat_ntl,7,2021-01-01,75,1983.5343422975272,1697.1471281704837,13.351169442988548,2.339289524506293,0.1329854602380439,0.1554262580008354,0.1279091641745946,1752,0.0310681763302235,1637424,6,57.17954015731812
cmat_ntl,8,2022-01-01,60,2232.192807002104,1860.276437819379,16.57757342511111,2.418613514998789,0.1489998865709499,0.1787887371393437,0.2196115896377812,1272,0.0414388243054204,623912,10,121.297203540802
cmat_ntl,4,2018-01-01,90,2701.5643004194703,2177.9311731619428,14.393594866477052,2.7972866537473555,0.1557157406112793,0.1931539853199624,0.0020723336136475,2064,0.0350298499140669,2427232,8,72.83068537712097
cmat_ntl,9,2023-01-01,60,3585.393821399582,2971.3684181837166,18.95316296365327,3.9858960739017473,0.2055268841100468,0.2479984696310749,0.1867241719513985,1272,0.0196334796149612,623912,6,81.14790415763855
cmat_ntl,5,2019-01-01,90,2040.8727965633825,1779.783106084131,13.947156945247684,2.429250051369766,0.133037813451618,0.1525541249714766,-0.0079038950930579,2063,0.0292450558558544,2427232,7,73.8334288597107
cmat_ntl,8,2022-01-01,75,2098.10100739546,1709.5940521100886,13.25068208687082,2.2357009031338166,0.1383692103500523,0.1698137515567728,0.2308570249302536,1752,0.0339104182963823,1637424,16,167.74143600463867
cmat_ntl,6,2020-01-01,90,2100.452639117466,1706.2230193248606,12.404116450248187,2.367869499929585,0.1304767808712684,0.1606239604205144,0.1903413390424211,2063,0.0362676052130101,2427232,6,72.0627429485321
cmat_ntl,10,2024-01-01,60,2710.213917423888,2187.5964079083137,13.539531782334691,2.57348275586195,0.145784157872537,0.180612041680876,0.1211399910656423,1272,0.0181216795805513,623912,6,86.57069134712219
cmat_ntl,0,2014-01-01,105,2185.9951505020126,1912.361657271684,14.600605076564898,2.723707630346578,0.1418444005986959,0.1621404459013179,0.1597580248910322,2424,0.0286697556859232,2427232,10,57.3243453502655
