model,fold,train_end,horizon_days,rmse,mae,mape_pct,mase,nmae,nrmse,pcc,n_samples,best_val_loss,n_params,n_epochs,train_time_s,seed
cmat_tab,9,2023-01-01,180,1180.32796956824,895.344169467824,6.532217994482603,1.2303542628624802,0.0689592740153412,0.0909086836739072,0.8727992371314437,4151,0.0152781579858142,164520,24,663.5631701946259,123
cmat_tab,10,2024-01-01,180,913.6376979413752,742.8704460011742,5.584222665762847,1.0811357444028329,0.0563891899674233,0.0693516480403019,0.902853096905266,4152,0.0164352014522861,164520,24,725.7300324440002,123
cmat_tab,0,2014-01-01,60,1586.58489054364,1478.685042471256,10.566638466572382,2.038596746687723,0.1059131200271593,0.1136416147583318,0.9664424360566488,1272,0.0129958131267484,425512,33,145.90059280395508,456
cmat_tab,1,2015-01-01,60,759.9379552352551,606.339628783412,4.33998797525468,0.7985317637194493,0.0433922525834166,0.0543844046074587,0.971438676142652,1272,0.0225546429016831,425512,26,163.9751992225647,456
cmat_tab,2,2016-01-01,60,783.3381953618128,678.7398789123919,4.713894234581423,0.9009131457796214,0.0474671272707549,0.0547821263646157,0.9773877675312488,1272,0.014092216975297,425512,27,225.2239475250244,456
cmat_tab,3,2017-01-01,60,1341.6625182502185,1088.07489666249,7.667485310572446,1.564163359071936,0.0754816643175358,0.093073482478657,0.9166059822000162,1272,0.01512866618361,425512,24,248.23944091796875,456
cmat_tab,4,2018-01-01,60,1411.281213378509,1072.2771280156742,7.58076038439373,1.3895098376115071,0.0748007380985687,0.0984492475566568,0.9066754537168704,1272,0.0190050643764879,425512,24,301.17791867256165,456
cmat_tab,5,2019-01-01,60,920.7098930039664,815.4885284615763,6.255122229540946,1.1570509217204197,0.0587497726674037,0.0663301751266282,0.9676874119151744,1272,0.0224048236738128,425512,50,716.3483457565308,456
cmat_tab,6,2020-01-01,60,1054.705745158344,754.8528338738207,5.930322033846631,1.008055877397918,0.0562553902038454,0.0786019215687784,0.8620116611498841,1272,0.0179744680015439,425512,24,395.8290581703186,456
cmat_tab,7,2021-01-01,60,1726.1588133438208,1242.6679549307194,9.553843085741368,1.5875404884975486,0.0950281754608168,0.1320012493577313,0.8609252724854669,1272,0.0236740215459914,425512,24,438.8827738761902,456
cmat_tab,8,2022-01-01,60,1362.1287898735627,930.9992092300512,7.729010739313426,1.2104261625419863,0.0745689047889722,0.1091004708010455,0.7053617320873262,1272,0.0439830683171749,425512,27,550.8692820072174,456
cmat_tab,9,2023-01-01,60,974.1666325571103,784.438633948752,5.449538123091471,1.052273037614234,0.0542589155974061,0.0673822308160039,0.9231469155533484,1272,0.0191901136400891,425512,24,542.0714008808136,456
cmat_tab,10,2024-01-01,60,1465.1036024072323,1321.390604271079,8.744297534659793,1.5544804889769908,0.0880591208542594,0.0976363346094462,0.9485748958362556,1272,0.0109946598333341,425512,26,636.6081304550171,456
cmat_tab,0,2014-01-01,120,965.459698730652,803.6693872912176,6.065753824622217,1.1563455684085369,0.0603392006613358,0.0724863574665839,0.9476009239819984,2784,0.0116455880615764,623712,27,134.92027592658997,456
cmat_tab,1,2015-01-01,120,1299.8260614515418,1055.3240219642375,7.943247460028411,1.45689858642561,0.0797238265062049,0.0981945878750384,0.8980749876469196,2784,0.0129499670420515,623712,26,191.31015944480896,456
cmat_tab,2,2016-01-01,120,1319.516129823979,1004.7647547228582,7.537975697649617,1.3021736727449102,0.0747708246055093,0.0981934414433384,0.8518328605716036,2784,0.0165387307762798,623712,24,235.47468423843384,456
cmat_tab,3,2017-01-01,120,1338.8185602711635,1117.9231041217672,8.09448442987584,1.438912732739082,0.0809335593849315,0.0969255855379051,0.8864250009884349,2784,0.0195696377951473,623712,31,378.8926975727081,456
cmat_tab,4,2018-01-01,120,1024.3758871732225,831.9483025211027,6.272184330564393,1.0717513798917844,0.0613103809765893,0.0754913204528461,0.8953558999787448,2784,0.0202536248925014,623712,24,356.5957667827606,456
cmat_tab,5,2019-01-01,120,1196.1411891015905,857.8825573936624,7.263872522603862,1.2171661832273593,0.06727827997852,0.0938057559518475,0.860471835966649,2783,0.016802935883389,623712,24,405.3567509651184,456
cmat_tab,6,2020-01-01,120,1981.4830210044167,1463.7124065545836,12.503446659701536,2.009437055096729,0.1162070765325846,0.1573139286370397,0.689570568716319,2783,0.0259139516548363,623712,24,466.47516536712646,456
cmat_tab,7,2021-01-01,120,1779.4319352653954,1441.696183265305,12.469232646559158,1.7920954387963708,0.1197473307440947,0.1477996730255738,0.5923030100621692,2783,0.0336440202206153,623712,24,523.8072950839996,456
cmat_tab,8,2022-01-01,120,1647.373166072987,1367.2039301464808,11.056400586470938,1.7570210303932148,0.1129653246142418,0.1361143282014177,0.6861166490442614,2783,0.0291663896862926,623712,24,587.6013720035553,456
cmat_tab,9,2023-01-01,120,971.8728337711758,816.2126414840101,6.100625768543036,1.064588927720801,0.0603278157080728,0.0718329540949392,0.9243451225420148,2783,0.0165494413517168,623712,31,816.0668332576752,456
cmat_tab,10,2024-01-01,120,1356.200669826456,1105.2263590494792,7.917152720776409,1.479048303937568,0.0803305111921819,0.0985719279985626,0.8609360039989353,2784,0.0131458416598273,623712,24,696.8825402259827,456
cmat_tab,0,2014-01-01,180,3535.845358909224,2914.8495691553017,21.38785654154725,3.990312161813542,0.2257454132827171,0.2738394736720674,0.9224262599045644,4152,0.0134279872792804,164520,24,119.27201080322266,456
cmat_tab,1,2015-01-01,180,980.9986447220438,769.8300882387254,5.930823631844605,1.036634020348504,0.0596157837786349,0.0759687156742406,0.9361928121614624,4152,0.0216356514464911,164520,50,361.8264989852905,456
cmat_tab,2,2016-01-01,180,1884.4415735157304,1539.1743495698609,11.8278080074465,1.9393593703860323,0.1167761524701614,0.1429713512127339,0.8284386744151256,4152,0.0272037310663748,164520,24,241.81652665138245,456
cmat_tab,3,2017-01-01,180,1211.602380330419,956.9321597178316,7.21204126241502,1.2339909224828067,0.0713567145813805,0.0903470160986668,0.8210553659252621,4152,0.0283469472038923,164520,50,615.0577185153961,456
cmat_tab,4,2018-01-01,180,1248.00585786308,1028.7459909663264,7.991713811036543,1.3308786124750234,0.0787876605456638,0.0955799223051697,0.8254491913903143,4152,0.0225978542299297,164520,24,360.6418707370758,456
cmat_tab,5,2019-01-01,180,1626.0033179011618,1279.104228108626,10.725626362037277,1.822576521836031,0.1051333269998602,0.1336459803408946,0.6092796578425521,4151,0.017386016453232,164520,24,420.1724634170532,456
cmat_tab,6,2020-01-01,180,1482.8279104700946,1046.692225306214,9.496704328524949,1.324602859364324,0.0868994233434971,0.1231086724655821,0.7618262445904282,4151,0.0255334138594291,164520,50,995.3344473838806,456
cmat_tab,7,2021-01-01,180,2468.2994482375007,1836.0831934323053,17.796365434671443,2.1844748046797915,0.1602178182132509,0.2153854213731541,0.6661068691856571,4151,0.0271615321076298,164520,24,548.5207426548004,456
cmat_tab,8,2022-01-01,180,1280.598797983171,988.003951655098,8.252141817181098,1.3596399719485428,0.0819552443102047,0.1062260805498304,0.6847213666269052,4151,0.0372191521643789,164520,32,810.7159285545349,456
cmat_tab,9,2023-01-01,180,797.2867762243671,616.810969636458,4.749097930955024,0.8476025552538413,0.0475066886246779,0.061406908254223,0.9276103078748617,4151,0.0165280799267183,164520,28,767.4897856712341,456
cmat_tab,10,2024-01-01,180,983.9908030906898,808.8964608547086,6.155491266901915,1.177226637643881,0.0614010376111267,0.0746919528436734,0.8938691383066854,4152,0.0105792466344104,164520,24,729.4745972156525,456
